,timestamp,location,text,sentiment_score,sentiment
0,2022-11-26T17:56:50.000Z,The Land of the Free,"#AbortionIsNotHealthcare 
#AbortionIsMurder 
#ProtectTheUnborn https://t.co/mENbKmgjoQ",-0.991463840007782,Strongly Negative
1,2022-11-26T16:28:16.000Z,2A County In West Virginia,"🇺🇸PATRIOTS🇺🇸
#AbortionIsMurder
⭐️⭐️⭐️⭐️
@DixieBxtch2a 
@brindleh 
@LoreAsbury 
@JimMaga777 
@KellzzzAgain 
@bodog633 
@DK75992291 
@SteveBjortvedt 
@RobTaylor551 
@Jamesgang78 
@SandraManchur 
@cecilia_kolas 
@kagger2020 
@whocandorfie 
@SCylinders 
@Marzey17 
@ThePuzzle131967 https://t.co/jjfd4fPpHJ",-0.9868025183677673,Strongly Negative
2,2022-11-26T11:01:21.000Z,,"Your daily abortion reminder: abortion = murder. #abortionismurder #abortion #genocide
https://t.co/u7RgUmotnm",-0.996342122554779,Strongly Negative
3,2022-11-26T04:02:27.000Z,"Mississippi, USA","Abortion the number one killer of babies. 
#AbortionIsMurder https://t.co/QZbupve7lU",-0.9919963479042053,Strongly Negative
4,2022-11-26T01:24:32.000Z,,"I am the pro life generation. Anyone who is triggered by this can take their attitudes elsewhere.
#abortionrights #prolife #abortionismurder
#antiabortion #abortionshoulbeillegal #abortion",-0.9984706044197083,Strongly Negative
5,2022-11-25T20:00:01.000Z,"Columbus, Ohio","Changes in public policy are downstream from culture. But the reverse it also true. Law teaches.

Stay up to date on the fight: https://t.co/IUEdRKG9ms

#prolife #proabortion #womensrights #fullterm #savethebabies #abortionismurder #stopabortion #humanrights #childrensrights https://t.co/kS80XxYvfS",0.9074015617370605,Strongly Positive
6,2022-11-25T19:47:41.000Z,,GA Supreme Court Reinstates Heartbeat Bill After Left-Wing Judge Overturn https://t.co/13EH5PJ9C1 via @BreitbartNews #abortionismurder,-0.9912403225898743,Strongly Negative
7,2022-11-25T19:30:45.000Z,"Wisconsin, USA","Terminating an ectopic pregnancy is not abortion. 

Ectopic pregnancies are not sustainable and life-threatening. They REQUIRE a termination. 

The idea that banning abortions includes ectopic pregnancies is ABSURD. 

Know the facts. 

#AbortionIsMurder",-0.9993146657943726,Strongly Negative
8,2022-11-25T18:46:38.000Z,"Fort Worth, TX","Estas personas están tan enfermas. ¡Qué asco! El aborto es asesinar a un niño por nacer. ¡Cierre Planned Parnethood!
#ProLife #SaveAmerica #AmericaFirst #AbortionIsMurder #HoldTheLine https://t.co/HiZF6X9GZ1",-0.9852944612503052,Strongly Negative
9,2022-11-25T14:37:00.000Z,"Washington, DC","#Metaverse #Opinion &amp; #Politics #USA #Trending: Unlimited On-Demand #Abortion is unethical and it gets into the viability range of a child.  #Stop #Murdering #PainFeeling #Innocent #Babies! 

#AbortionIsMurder #NoAbortionsAfter20Weeks #CommonSense #Sanity #AbortionIsGenocide",-0.8732315301895142,Strongly Negative
10,2022-11-25T12:53:58.000Z,,The Nation Celebrates Women ‘Thankful’ for Abortions on Thanksgiving https://t.co/af9Wy8zJoM via @BreitbartNews Demonic #abortionismurder,0.7893895506858826,Strongly Positive
11,2022-11-25T12:31:13.000Z,"Columbus, Ohio","Democrats are adopting a playbook like that of activists in Ireland prior to the Irish abortion referendum.

Stay up to date on the fight: https://t.co/IUEdRKXKL2

#prolife #proabortion #womensrights #fullterm #savethebabies #abortionismurder #stopabortion #humanrights https://t.co/5oNnr66VZv",-0.9807661771774292,Strongly Negative
12,2022-11-25T12:24:40.000Z,,"A botched execution of a murderer is stop all executions it’s inhumane but a botched abortion of a helpless,innocent baby is left to die, is just fine. Society is evil. #AbortionIsMurder",0.911038875579834,Strongly Positive
13,2022-11-25T11:01:28.000Z,,"Your daily abortion reminder: abortion = murder. #abortionismurder #abortion #genocide
https://t.co/u7RgUmotnm",-0.996342122554779,Strongly Negative
14,2022-11-25T07:40:08.000Z,,"E.L.F. Beauty brands &amp; Estée Lauder Companies
Parent company of #EstéeLauder #MAC #BobbiBrown #Clinique #LaMer, #Smashbox, and more support #murder #boycott them #BlackFriday #abortionismurder https://t.co/JPIMe4CNNH",-0.9971985816955566,Strongly Negative
15,2022-11-25T03:10:53.000Z, #CALIFORNIA Cruz-in ,"Fake Christian is trending because Christian democRAT is an oxymoron. Georgia needs a good man, @HerschelWalker 🇺🇸 #VoteYourFaithInGod #AbortionIsMurder https://t.co/Ifq0qVSRJz",-0.9980660080909729,Strongly Negative
16,2022-11-24T15:30:00.000Z,Cali,"We must prove the proposition that abortion is an act of violence that kills a baby.

Stay up to date on the fight: https://t.co/IUEdRKG9ms

#prolife #proabortion #womensrights #fullterm #savethebabies #abortionismurder #stopabortion #humanrights #childrensrights https://t.co/lQcB4Ajqfs",-0.993061363697052,Strongly Negative
17,2022-11-24T11:01:48.000Z,"Fargo, ND","Your daily abortion reminder: abortion = murder. #abortionismurder #abortion #genocide
https://t.co/u7RgUmp1cU",-0.996330201625824,Strongly Negative
18,2022-11-24T05:02:16.000Z,"Fargo, ND",This… #AbortionIsMurder https://t.co/9gDFkADXGw,-0.9944717884063721,Strongly Negative
19,2022-11-24T04:03:14.000Z,"Fargo, ND",#AOC #AOCLovesElon #abortionrights #AbortionRightsAreHumanRights #AbortionIsHealthcare #abortionIsMurder https://t.co/xtDnjZkbZ5,-0.9922048449516296,Strongly Negative
20,2022-11-24T01:00:03.000Z,,"Wondering how to argue against ""my body, my choice""?  Swipe to see the easiest way to defend life.  

#prolife #prochoice #abortion #womenshealth @#reproductiverights #abortionismurder #abortionishealthcare #womensrights https://t.co/hljFS0vH9j",-0.9961249232292175,Strongly Negative
21,2022-11-23T23:51:42.000Z,"Tennessee, USA","""Every time I felt her move was like a dagger to the heart,""
#AbortionIsMurder

https://t.co/u7jrYN87Gq",0.8727400302886963,Strongly Positive
22,2022-11-23T20:31:17.000Z,"Atlanta, Ga",BREAKING: Georgia Supreme Court reinstates ban on abortions after 6 weeks! PRAISE GOD! #AbortionIsMurder https://t.co/M17uawlKxV,0.8185034990310669,Strongly Positive
23,2022-11-23T14:49:56.000Z,"Columbus, Ohio","Join us on the front lines of the post-Roe battle over abortion by supporting our border rescue units.

Donate here: https://t.co/FKsj200a0d

Stay up to date on the fight: https://t.co/IUEdRKYiAA

#prolife #proabortion #womensrights #fullterm #savethebabies #abortionismurder https://t.co/kPHIc7bh5t",-0.8683255314826965,Strongly Negative
24,2022-11-23T13:16:47.000Z,The GREAT State of Texas,"I have 116 followers today.  Guess I have to step up my game.  Let’s start with…
#HappyThanksgiving2022 #MAGA #ABORTIONISMURDER",-0.9830454587936401,Strongly Negative
25,2022-11-23T12:34:33.000Z,,"#AbortionIsMurder

#SaveIreland from #TheSatanists 🙏 

#GodBless #Ireland &amp; Our 🇮🇪 #Irish #Babies being #murdered in the #womb whilst they #REPLACE us with #Unvetted #ArmyAged #Men 

The #Plantation I Warned U ALL About Years Ago but now U choose to #LISTEN👂Thank you✝️❤️ https://t.co/AuOJq00tYR",-0.9971163272857666,Strongly Negative
26,2022-11-23T11:01:19.000Z,,"Your daily abortion reminder: abortion = murder. #abortionismurder #abortion #genocide
https://t.co/u7RgUmp1cU",-0.996330201625824,Strongly Negative
27,2022-11-23T08:14:36.000Z,"Oklahoma, USA","SQ 828 must be defeated. Child murder cannot be tolerated in Oklahoma. #abortion #headsup #life #prolife #Oklahoma #abortionismurder
https://t.co/uV3OLNDpfM",-0.9928476810455322,Strongly Negative
28,2022-11-22T21:26:14.000Z,,"yes, women should have the right to their own bodies but that doesn't mean they should have the right to kill another human being. #abortionismurder",-0.9783103466033936,Strongly Negative
29,2022-11-22T14:30:15.000Z,,"A pro-abortion activist shouts in the face of one of our young activists at a recent Women’s March in DC.

Stay up to date on the fight: https://t.co/IUEdRKXKL2

#prolife #proabortion #womensrights #fullterm #savethebabies #abortionismurder #stopabortion #humanrights https://t.co/K477T9Twot",-0.8755265474319458,Strongly Negative
30,2022-11-22T11:01:39.000Z,,"Your daily abortion reminder: abortion = murder. #abortionismurder #abortion #genocide
https://t.co/u7RgUm6RYM",-0.9962751865386963,Strongly Negative
