,timestamp,location,text,sentiment_score,sentiment
0,2022-11-26T21:45:11.000Z,Texas,"Human Coalition cares for expecting mothers around the country, and we believe they don’t have to go through this journey alone.  

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion #Abortion #ProLife #RescueThePreborn #EndRoeVWade #Roeverturned https://t.co/GZsOfjktC6",0.7872235178947449,Strongly Positive
1,2022-11-26T21:26:40.000Z,"Cincinnati, Ohio","“@spucprolife is thrilled to announce that Mr [Kevin] Duffy will be joining SPUC’s team ... and is certain that his unique insight and expertise will help to ensure that full legal protections are restored to unborn children.”

https://t.co/Gvw8o8YIxo

#ProLife #EndAbortion",0.9991648197174072,Strongly Positive
2,2022-11-26T11:02:12.000Z,Europe,"Mi #entrevista a: #CARDENALBURKE. EL #PAPAFRANCISCO ES ROTUNDO CONTRA EL #ABORTO.
@jordipicazo @cardinalrlburke #endabortion @EndAllAbortion 

https://t.co/8hApfhP8ZT https://t.co/R6tN7zvjPk",-0.991657555103302,Strongly Negative
3,2022-11-26T00:00:59.000Z,,"We are SO grateful for new co-leader, Linda, in Ft. Lauderdale! Thank you for your YES to sidewalk advocacy. We are grateful for your service in South Florida!

#sidewalkadvoacy #sidewalkadvocates #prolife #abortion #florida #endabortion https://t.co/mEyptul297",0.9971649050712585,Strongly Positive
4,2022-11-25T22:01:18.000Z,"Washington, DC","Regardless of what Planned Parenthood tries to tell you, abortion is not just a “procedure.” It’s a life-or-death decision. 

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion #Abortion #ProLife #RescueThePreborn  #Roeverturned https://t.co/Si1NoPycTz",-0.9883623719215393,Strongly Negative
5,2022-11-25T21:58:57.000Z,,"It’s not healthcare, it’s genocide!  #EndAbortion #RoeVsWade #AbortionIsGenocide #SaveTheBabies https://t.co/AntC621EKK",-0.9980545043945312,Strongly Negative
6,2022-11-25T18:57:13.000Z,,Don’t forget. Code MG47 saves you 47% on all @abort73 apparel. Through Monday. #beawitness #endabortion https://t.co/E3Kfm5ophB,-0.9828500151634216,Strongly Negative
7,2022-11-25T18:23:46.000Z,United States,"#endabortion #endabortionnow

#abortion #abortionkills https://t.co/eyaftqyOod",-0.9975394010543823,Strongly Negative
8,2022-11-25T15:05:17.000Z,,"Regardless of what Planned Parenthood tries to tell you, abortion is not just a “procedure.” It’s a life-or-death decision. 

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion #Abortion #ProLife #RescueThePreborn #EndRoeVWade #Roeverturned https://t.co/T9goxDQYJ7",-0.986201822757721,Strongly Negative
9,2022-11-25T01:54:03.000Z,,"If you’re excluding an entire group of people from your fight for human rights, you’re not doing it correctly.

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion #Abortion #ProLife #RescueThePreborn https://t.co/mCI6cHVXnE",-0.9991382360458374,Strongly Negative
10,2022-11-24T15:05:18.000Z,United States,"Happy Thanksgiving! Today we give thanks for the many things, people, and memories that we have today. Let’s not forget the breath in our lungs today that gives us life! What are you thankful for?? 

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion https://t.co/BTQ4sZlD3P",0.9975097179412842,Strongly Positive
11,2022-11-24T00:00:12.000Z,NWI,Please join us on Friday December 2nd 7:45pm at St. Stanislaus Kostka Church in Chicago for Peaceful Rosary Rally to protest the sins of abortion. Please RT #rosaryrally #prolife #endabortion #chicago https://t.co/nJhlQIFmm8,-0.9749342203140259,Strongly Negative
12,2022-11-23T21:40:12.000Z,Texas,"As we celebrate all that we are thankful for, we must remember all that the Lord has done for us. He is good and His loves endures forever. 

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion #Abortion #ProLife #RescueThePreborn https://t.co/YjQ07rHg5S",0.698323130607605,Positive
13,2022-11-23T21:01:36.000Z,50 different countries,"As we celebrate all that we are thankful for, we must remember all that the Lord has done for us. He is good and His loves endures forever. 

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion #Abortion #ProLife #RescueThePreborn #EndRoeVWade #Roeverturned https://t.co/IbcttT9db1",0.5965752005577087,Positive
14,2022-11-23T11:13:17.000Z,,"""My body, my choice"" - say abortion advocates. The problem is, the body of the baby inside a mother is not part of the mother's body. Children have their own lives with their own DNA. #ProLife #EndAbortion #Children https://t.co/WKGfcgEvPM",-0.9941675662994385,Strongly Negative
15,2022-11-22T19:21:53.000Z,United States,"""Freedom for women to choose. Stop oppressing women!""
Not ALL choices should be legal options. Like killing people generally speaking shouldn’t be an option. I'm not oppressing women by arguing that we should take away a choice to KILL another person. #endabortion",-0.9817837476730347,Strongly Negative
16,2022-11-22T18:33:12.000Z,,Angry when innocent humans are killed? Same. #EndAbortion.,-0.993378221988678,Strongly Negative
17,2022-11-22T18:31:45.000Z,,"Yes - Murdering innocent human beings is gross, objectively wrong, and disgusting. So, let's #EndAbortion. #StopHate",-0.9996367692947388,Strongly Negative
18,2022-11-22T15:30:54.000Z,,It’s on. The annual #abort73 #birthdaysale. Save 47% with code MG47. #beawitness #endabortion https://t.co/vmAOWY3o2v,-0.9944602251052856,Strongly Negative
