,timestamp,location,text,sentiment_score,sentiment
0,2022-11-26T22:29:31.000Z,Currently Dallas area,"Antiabortionist in red states think they have won. Nope.
#abortionrights #RoeVWade #abortionishealthcare https://t.co/j1X5yyfBgJ",-0.9962085485458374,Strongly Negative
1,2022-11-26T22:23:53.000Z,United Kingdom,"Have you managed to get hold of a copy of @economicstodayuk yet? It's packed with brilliant articles on #Economics across a wide range of topics, from #Trussonomics to the #WorldCup, from #RoevWade to #Poochonomics! It also includes our review of Edith K… https://t.co/Y9ibhZnJsG https://t.co/ioU8oj30Sk",0.9986433386802673,Strongly Positive
2,2022-11-26T21:28:55.000Z,"Arizona, USA",I think it’s safe to say the 20s will be cemented in World History for generations to come. What a decade so far - and we’re only just wrapping up 2022…. #COVID #insurrection #RussiaUkraineWar #RoeVWade,0.9852144122123718,Strongly Positive
3,2022-11-26T21:23:53.000Z,https://bit.ly/mgtowgear,"Surfing Feminist Tears. Available on #stickers #tshirts #mugs #masks #magnets and 90+ over items. #RoeVWade #feminists
https://t.co/eW6RhV5KCA
 1669479833",-0.9926629066467285,Strongly Negative
4,2022-11-26T21:08:28.000Z,,"Draft Tim Ryan for President &amp; Nanette Diaz Barragán for Vice-President in 2024

On https://t.co/EpsVBfrKmk

#BLM #DSA #OurRevolution #RoeVWade #intersectionality

#feminism #USProgressives #DemSocialists",-0.9917894601821899,Strongly Negative
5,2022-11-26T19:52:33.000Z,Kansas,"Surfing Feminist Tears. Available on #stickers #tshirts #mugs #masks #magnets and 90+ over items. #RoeVWade #feminists
https://t.co/eW6RhVmNEA
 1669474353",-0.9925523996353149,Strongly Negative
6,2022-11-26T19:19:31.000Z,calililiindies.com ,"""Love is laying down your life for someone else. Abortion is laying down someone else's life for you."" https://t.co/VE4hyNVYy8 #ProLife #unborn #RoeVWade",-0.9825061559677124,Strongly Negative
7,2022-11-26T19:17:17.000Z,Southern Cali,"“ #21stCentury , 
A Time Of Useful #Consciousnesses 🦋” 
#women #LGBTQIA #qwoc #BLM #SaveDemocracy #humanity  #sealife #wildlife #education #motherearth #Voters #ClimateAction #RuleOfLaw #RoeVWade #LoveWins #NOH8 https://t.co/Y4lr8awpm1
#savetheplanet 📰 https://t.co/AQUZGqEj5M",-0.9634426832199097,Strongly Negative
8,2022-11-26T19:12:29.000Z,Southern Cali,"Surfing Feminist Tears. Available on #stickers #tshirts #mugs #masks #magnets and 90+ over items. #RoeVWade #feminists
https://t.co/eW6RhV5KCA
 1669471949",-0.9926518797874451,Strongly Negative
9,2022-11-26T19:01:32.000Z,Southern Cali,"SYSTEMIC RACISM! power doesn't want Black people to have national healthcare!🧐https://t.co/zyfa0dMnNe
AND-
""60% of the fetuses that are aborted every year are White; if we can keep that 60% alive, that would solve our birth dearth."" ???
https://t.co/IVxW1mPJPU
#RoeVWade #BLM",-0.995414137840271,Strongly Negative
10,2022-11-26T18:08:13.000Z,https://bit.ly/mgtowgear,"Surfing Feminist Tears. Available on #stickers #tshirts #mugs #masks #magnets and 90+ over items. #RoeVWade #feminists
https://t.co/eW6RhV5KCA
 1669468093",-0.9929895401000977,Strongly Negative
11,2022-11-26T18:05:29.000Z,"Tampa, FL","Never knew so many pro-life and born- again Christian billboards existed. Then I drove through East Texas.
#Texas #prochoice #RoeVWade #progressivechristianity",-0.9419770240783691,Strongly Negative
