,timestamp,location,text,sentiment_score,sentiment
0,2022-11-26T23:52:37.000Z,Augusta,"Want nudes?Follow me👙

#women #nsfw #hentai #kik #cumslut #facetime #dropbox #sellingcontent https://t.co/4cM4qxa4Lw",-0.9948531985282898,Strongly Negative
1,2022-11-26T23:51:48.000Z,,Why do we have to beg to be treated fairly? #women #16Days #Rape #16DaysOfActivism #16daysofactivism2022 #GBV #girls #EndChildMarriages #education #RespectWomen #GenderEquity #GenderEquality #LaceysHouse #America #India #Africa #Asia #Europe #WomensRights https://t.co/qIo0Lr34KE,-0.9863880276679993,Strongly Negative
2,2022-11-26T23:51:42.000Z,nottingham #notts,"#notts #vlog #news #freespeech #britishlife #nottingham #Nottingham #womenscorner #protest 

https://t.co/YErxF2SrNH
#women #corner #nottingham #protest https://t.co/BHvwiuFHxA #news #nottinghamnews #protest",-0.9969301819801331,Strongly Negative
3,2022-11-26T23:51:06.000Z,,"IUGA Bootcut Yoga Pants with Pockets for Women High Waist Workout Bootleg Pants Tummy Control, 4 Pockets Work Pants for Women
#waist #women #style #Iuga #high #fashion #workout

Now only $32.99!

Get it at this link: https://t.co/vpf1elLZKt",-0.9926268458366394,Strongly Negative
4,2022-11-26T23:49:51.000Z,,"Woman Police officer fucks and sucks suspect
#police #women https://t.co/aObMcy6fqn",-0.9969700574874878,Strongly Negative
5,2022-11-26T23:49:34.000Z,"Florida, USA",Just an Israeli army girl 😍 #Israel #women 🇮🇱 https://t.co/PJa0Wcftrf,-0.995945155620575,Strongly Negative
6,2022-11-26T23:48:57.000Z,"Massachusetts, USA","Ends #Sunday - Antique Victorian American Sisters with Teapot! Coshocton, Ohio Cabinet Photo! https://t.co/rT5higi2V2 #eBay #History #Antiques #Victorian #American #Fashion #Women #Portrait #Ladies #Style #19thCentury #Coshocton #Ohio #OH #Photos #Photography #RT",-0.925628662109375,Strongly Negative
7,2022-11-26T23:47:32.000Z,Antioch,"Follow me and let have fun on private😌

#women #nsfw #cumslut #sellingnudes #camgirl #sextapes #daddy #whore https://t.co/iWvIHIzGPv",-0.9967484474182129,Strongly Negative
8,2022-11-26T23:47:17.000Z,USA,"Hey Dreamers! We need your help. We're 250 subs shy of our 1k goal. Please subscribe if we're not connected on #YouTube we can't reach this milestone without you!
#YouTuber
#rt #women
https://t.co/SScdr4ULrC",-0.989694356918335,Strongly Negative
9,2022-11-26T23:47:10.000Z,"Manhattan, NY",#dating #single #romance #lol #funny #jokes #humor #comedy #love #party #couples #women #LGBTQ #comedian #comics #comic #standup #sketch #show #actors #horror #family #fun #crazy #prank #Health #healthy #wellness #job #dumb #lifestyle #writers #relationship #wedding #Death #life https://t.co/hUjk7znbet,-0.9806052446365356,Strongly Negative
10,2022-11-26T23:46:46.000Z,,🚺👩🏽‍🦱👵🏻👵🏿👩‍🦰👩🏽‍🦰👩🏿‍🚒⛹️‍♀️⛹🏿‍♀️🧎🏾‍♀️🧝🏾‍♀️🙎🏿‍♀️👩🏽‍🍼#16DaysOfActivismAgainstGBV #16Days #mexicoargentina #Qatar2022 #women #girls #EndChildMarriage #humantraffickingph #Rape #GBV #gbvfsummit2022 #RespectWomen #Education https://t.co/C0Eno3f7F2,-0.9852151870727539,Strongly Negative
11,2022-11-26T23:46:44.000Z,Washington,Womens Wild adventure creative V-Neck T-Shirt https://t.co/eq1LQSZXH6 #Amazon via @Amazon  @Women_Fit  #women #fashion #adventure #wild,-0.9371745586395264,Strongly Negative
12,2022-11-26T23:45:25.000Z,Bombay,"If #women are not  allowed  to drive and #bmc do not have right  to dig the road without any thought..
Then there will be no more #traffic  on bombay roads.",-0.9933598637580872,Strongly Negative
13,2022-11-26T23:45:02.000Z,,"This book is a must-read for all. An eye-opener! Grab a copy of ""Behind Closed Doors"" #suspense #fiction #abuse #women  @_kishajohnson Buy Now --&gt; https://t.co/r0wBJTr7VT https://t.co/3JUUTcdLAj",0.9976857900619507,Strongly Positive
14,2022-11-26T23:43:13.000Z,,PAD PEP TALK! #SHARKWEEK #ladies #women #sister #stress #peptalk #girlgang #GirlsGeneration #periodchallenge #comedy #feelings https://t.co/33N3f8Kwar,-0.9920328259468079,Strongly Negative
15,2022-11-26T23:42:30.000Z,🌱  LOVE ALL SERVE ALL  🌱,"We listen to the loudest voice! 
THE #WOMEN have a right to be heard! https://t.co/ih7yoVl5QZ",0.964482843875885,Strongly Positive
