,timestamp,location,text,sentiment_score,sentiment
0,2022-11-26T23:29:33.000Z,earth,"#ProChoice
#ProLife

https://t.co/aFqznSk3T4",-0.9920378923416138,Strongly Negative
1,2022-11-26T23:14:01.000Z,,#ProLife is adopting a child.,-0.6627046465873718,Negative
2,2022-11-26T23:00:45.000Z,"Dallas, TX","It's wrong to take the life of an innocent human being. 

Abortion takes the life of an innocent human being.

Therefore, abortion is wrong.

#prolife #abortion",-0.998006284236908,Strongly Negative
3,2022-11-26T22:55:33.000Z,,"And yet, that's exactly what pro aborts often do - Hide images of aborted babies. Why? If abortion is a good thing, why have any issue with images of aborted babies at all? (In the case below, they even covered up an image of a live unborn child. 1/2) #cbruk #ProLife #abortion https://t.co/XorJDE09kW",-0.9974554181098938,Strongly Negative
4,2022-11-26T22:14:02.000Z,a Rimini,Redlining is not #ProLife.,-0.9974125027656555,Strongly Negative
5,2022-11-26T22:02:00.000Z,Texas,VERGOGNA al Parlamento europeo! Subito un'indagine per identificare i responsabili #restiamoliberi #libertàdiespressione #provita #prolife @RobertaMetsola @Europarl_EN @Europarl_IT @CitizenGOit https://t.co/slYBVVL7Ti,-0.9836130142211914,Strongly Negative
6,2022-11-26T21:45:11.000Z,"Cincinnati, Ohio","Human Coalition cares for expecting mothers around the country, and we believe they dont have to go through this journey alone.  

#SaveTheBabyHumans #LifeIsAHumanRight #ValueLife #ChooseLife #EndAbortion #Abortion #ProLife #RescueThePreborn #EndRoeVWade #Roeverturned https://t.co/GZsOfjktC6",-0.6234766840934753,Negative
7,2022-11-26T21:26:40.000Z,"Rome, Italy","@spucprolife is thrilled to announce that Mr [Kevin] Duffy will be joining SPUCs team ... and is certain that his unique insight and expertise will help to ensure that full legal protections are restored to unborn children.

https://t.co/Gvw8o8YIxo

#ProLife #EndAbortion",0.9991438388824463,Strongly Positive
8,2022-11-26T21:13:10.000Z,,"Le droit de tuer un être humain garanti par la Constitution ? Communiqué de Mgr Marc Aillet, évêque de Bayonne, Lescar et Oloron. #France #ProVie #ProLife  https://t.co/GRKpdO5PBr",-0.9617851972579956,Strongly Negative
9,2022-11-26T20:50:51.000Z,,#Truth #Covfefe #memes #Politics #ProLife #Abortion #BabyLivesMatter #GodWins https://t.co/VrTgC8Q5YY,-0.992159366607666,Strongly Negative
10,2022-11-26T20:48:25.000Z,,Jim Harbaugh is a legend. #MichiganFootball #ProLife,0.9983788728713989,Strongly Positive
11,2022-11-26T20:41:50.000Z,"Washington, DC",Overturning Roe v. Wade was only the first step. Final destination? Making abortion unthinkable! #PurpleSashRevolution #EndAbortionViolence #ProLife @sbaprolife @AbbyJohnson @StudentsforLife @LiveAction @LifeNewsHQ @mercedesschlapp @mschlapp @demsforlife @Michael_J_New https://t.co/3YY48Qkbpv,-0.9907846450805664,Strongly Negative
12,2022-11-26T20:02:32.000Z,,You so called #prolife #republican #conservative @GOP Christians  better damn well STFU when it comes to a #womans #own #body  if its NOT YOUR OWN BODY .. its NOT YOUR DAMN BUSINESS  youre VERY MUCH NOT #PROLIFE  youre PRO CONTROL ,-0.9991289973258972,Strongly Negative
13,2022-11-26T19:54:44.000Z,New Jersey,"#ProLife #AlwaysLife #empathy #love 
If you truly cherish the life you've been given, you'll please give a listen to 'You Want To Stop A Heart' by Bob Garaffa on #SoundCloud
https://t.co/4SzSI0aKZv",0.996701180934906,Strongly Positive
