,timestamp,location,text,sentiment_score,sentiment
0,2022-11-26T23:55:57.000Z,,Stay that way or abortion time asap😂 #fuckthemkids #abortion #prochoice #childfreebychoice https://t.co/ClN6AUhcHr,-0.996777355670929,Strongly Negative
1,2022-11-26T23:29:33.000Z,earth,"#ProChoice
#ProLife

https://t.co/aFqznSk3T4",-0.9920378923416138,Strongly Negative
2,2022-11-26T22:08:20.000Z,,"Unapologetic Catholic's Anti Abortion Fallacies EXPOSED https://t.co/mqFyVfD44L via @YouTube 
#ProChoice 
#Abortion
#Politics",-0.9963634610176086,Strongly Negative
3,2022-11-26T21:08:14.000Z,"Bonn, Germany","ProLife vs. ProDeath!

RT @RebekahWriter: I am an alumna of Ohio State University and am #ProChoice.

Michigan coach Harbaugh is anti-abortion.

For every point Michigan scores against Ohio State today, I will donate $10 to the Abortion Fund to help Ohioans access abortion care.",-0.9121783971786499,Strongly Negative
4,2022-11-26T20:29:49.000Z,"New Orleans, LA","How the Overturn of Roe v. Wade Has Changed Dating in the United States.
#ReproductiveRights
#KeepAbortionLegal
#ProChoice 
 https://t.co/7uClqvWzBt",-0.9813133478164673,Strongly Negative
5,2022-11-26T20:08:57.000Z,"Louisville, KY",. #abortion @GOP #christofascists #ProChoice #hypocrisy #MAGAts https://t.co/Vu2bNEXIm2,-0.9965324401855469,Strongly Negative
6,2022-11-26T18:44:53.000Z,"New York, U.S.A.",Jah &amp; Jahes love. OMG! THE ⁦@GessicaGeneus⁩ “like” my comment on her Instagram post! Blessed love.#1804 #Ayiti #ToutMounSeMoun #AbolishCPS #DefundFosterCare #ProChoice https://t.co/YcH4ZyO5Xx,0.7536867260932922,Strongly Positive
7,2022-11-26T18:38:40.000Z,"London, UK","The tragedy of abortion is compounded by the indifference of our peers.

Watch Michael's full opening talk 👉 https://t.co/PjOLtrUAur

#fyp #prolife #prochoice #abortion #womensrights #equalrights #justice https://t.co/T2BiKSmmPm",-0.997901439666748,Strongly Negative
8,2022-11-26T18:05:29.000Z,"Tampa, FL","Never knew so many pro-life and born- again Christian billboards existed. Then I drove through East Texas.
#Texas #prochoice #RoeVWade #progressivechristianity",-0.9419770240783691,Strongly Negative
9,2022-11-26T17:12:59.000Z,,"Nobody needs an abortion until they need an abortion.  Those not needing an abortion should probably shut the fuck up. 
#abortionrights 
#prochoice
#WomensRightsAreHumanRights",-0.996631920337677,Strongly Negative
10,2022-11-26T16:58:15.000Z,,"No uterus, no opinion https://t.co/w9o7OiQHbq via @YouTube 
#abortionrights #abortionrightsarehumanrights #abortionishealthcare #WomensRightsAreHumanRights #womenshealth #prochoice #mindyourbusiness",-0.9966842532157898,Strongly Negative
11,2022-11-26T16:44:00.000Z,United States,"""Does restricting abortion lead to more unwanted births?""

""Who will adopt all the extra children?""

“Pro-lifers are hypocrites and pro-birthers”

“Unwanted children lead to educational and career problems, poverty, child abuse...“ #LetThemLive #prochoice
https://t.co/FYWk5zYoj5",-0.9966257810592651,Strongly Negative
12,2022-11-26T16:41:27.000Z,"Las Cruces, NM",For all of you out there that are pro choice please choose to keep your legs closed so innocent babies are not executed on a daily basis. #prochoice #prolife #commonsense #sorrynotsorry,-0.9974610805511475,Strongly Negative
13,2022-11-26T16:37:57.000Z,"Albuqurque,NM & Alpha Quadrant",Am I #ProLife or #ProChoice? I am only #ProResults and #ProResponsibility!!!!! 👨‍👩‍👧‍👧 https://t.co/1RhdjJSI6z,-0.9977825284004211,Strongly Negative
14,2022-11-26T15:43:41.000Z,"Niagara Falls, Ontario",Definitely not what I wanted to see when leaving my house today. #prochoice https://t.co/HLxBxJgLlX,-0.9997852444648743,Strongly Negative
15,2022-11-26T15:41:36.000Z,,"Learn about #abortion advocacy campaigns and initiatives in our new #actionguide! Link in bio!

#abortions #abortionrightsarehumanrights #abortionishealthcare #reproductiverights #mybodymychoice #prochoice #roevswade https://t.co/IORltiljvE",-0.9806453585624695,Strongly Negative
16,2022-11-26T15:32:12.000Z,"Cincinnati, OH","After making his list 
and checking it twice,
#SantaClaus has decided 
he is super #prochoice! 

So to all antichoicers 
who say they're #ProLife-rs, 
Stop changing laws 
and start changing diapers!

#MerryChristmas 
#HappyHolidays2022 
#mybodymychoice",-0.9900272488594055,Strongly Negative
17,2022-11-26T15:05:27.000Z,To the left. ,"I am an alumna of The Ohio State University and I am #ProChoice.

Michigan coach Jim Harbaugh is anti-abortion.

For every point Michigan scores against Ohio State today, I will donate $10 to the Abortion Fund of Ohio to help Ohioans access abortion care.
https://t.co/hujEVbFcaw",-0.6814222931861877,Negative
18,2022-11-26T12:07:36.000Z,Worldwide,People are #prochoice until you say that euthanasia should be available to everyone for any reason,-0.9986791014671326,Strongly Negative
